;x
C1_A;pmm
C1_B;pmm
C2;pmm
C3_A;
C3_B;
C3_C;
C3_D;
C4;pmm
C5;pmm
C6;pmm
C7;pmm
C8;pmm
C9;pmm
C10_A;pmm
C10_B;pmm
C10_C;pmm
C10_D;pmm
C10_E;pmm
C10_F;pmm
C10_G;pmm
C10_H;pmm
C10_I;pmm
C10_J;pmm
C10_K;pmm
C11_A;pmm
C11_B;pmm
C11_C;pmm
C11_D;pmm
C11_E;pmm
C12_A;pmm
C12_B;pmm
C12_C;pmm
C13_A;pmm
C13_B;pmm
C13_C;pmm
C13_D;pmm
C14;pmm
C15;pmm
C16_A;pmm
C16_B;pmm
C16_C;pmm
C16_D;pmm
C16_E;pmm
C16_F;pmm
C16_G;pmm
C16_H;pmm
C16_I;pmm
C16_J;pmm
C16_K;pmm
C17_A;pmm
C17_B;pmm
C17_C;pmm
C17_D;pmm
C17_E;pmm
C17_F;pmm
C17_G;pmm
C17_H;pmm
C17_I;pmm
C17_J;pmm
C17_K;pmm
C17_L;pmm
C18_A;pmm
C18_B;pmm
C18_C;pmm
C18_D;pmm
C18_E;pmm
C18_F;pmm
C18_G;pmm
C18_H;pmm
C18_I;pmm
C18_J;pmm
C19_A;pmm
C19_B;pmm
C19_C;pmm
C19_D;pmm
C19_E;pmm
C19_F;pmm
C20;pmm
C21;pmm
C22_A;pmm
C22_B;pmm
C22_C;pmm
C22_D;pmm
C22_E;pmm
C22_F;pmm
C22_G;pmm
C22_H;pmm
C22_I;pmm
C22_J;pmm
C22_K;pmm
C22_L;pmm
C22_M;pmm
C22_N;pmm
